date,scenario_lstm_close,naive_random_walk_close,moving_average_drift_close,ensemble_predicted_close,predicted_close,fair_value_anchor,lower_80,upper_80,lower_95,upper_95,forecast_step
2026-10-06,4.936406300641351,5.0,4.621756771868467,4.849337552080053,4.849337552080053,4.9680848252822525,3.671538805472973,6.027136298687132,2.663968126095947,7.034706978064159,27
2026-10-07,4.932196853851857,5.0,4.608311131912613,4.843468747385144,4.843468747385144,4.960638284346257,3.644057211884909,6.0428802828853785,2.617997454937508,7.068940039832779,28
2026-10-08,4.927894838527904,5.0,4.594904608085699,4.837589419326283,4.837589419326283,4.953202904848495,3.6169477128977126,6.058231125754855,2.5727261963057417,7.102452642346825,29
2026-10-09,4.92350345863532,5.0,4.5815370865908704,4.831700371193465,4.831700371193465,4.945778670059358,3.590191483003503,6.073209259383427,2.5281187328586205,7.135282009528309,30
2026-10-12,4.919025818315855,5.0,4.568208453962331,4.825802380110957,4.825802380110957,4.938365563274315,3.563771293553856,6.087833466668059,2.4841424325618062,7.167462327660108,31
2026-10-13,4.91446492498248,5.0,4.55491859706438,4.819896197851939,4.819896197851939,4.9309635678138735,3.5376713316844164,6.102121064019462,2.440767312011926,7.199025083691952,32
2026-10-14,4.909823692318729,5.0,4.541667403090449,4.813982551627857,4.813982551627857,4.92357266702354,3.511877044612338,6.116088058643377,2.397965746859979,7.229999356395735,33
2026-10-15,4.905104943185061,5.0,4.528454759562151,4.8080621448533165,4.8080621448533165,4.916192844273783,3.4863750051027758,6.129749284603857,2.355712221534208,7.260412068172425,34
2026-10-16,4.900311412435125,5.0,4.515280554328319,4.802135657887237,4.802135657887237,4.908824082960001,3.4611527946992733,6.1431185210752,2.3139831119436236,7.29028820383085,35
2026-10-19,4.89544574964471,5.0,4.502144675564056,4.7962037487510365,4.7962037487510365,4.901466366502476,3.4361989019414336,6.156208595560639,2.2727564960096336,7.319651001492439,36
2026-10-20,4.890510521756115,5.0,4.489047011769791,4.7902670538245316,4.7902670538245316,4.894119678346343,3.411502633291628,6.1690314743574355,2.2320119877979674,7.348522119851095,37
2026-10-21,4.885508215640522,5.0,4.475987451770322,4.784326188520258,4.784326188520258,4.886784001961552,3.3870540348904594,6.181598342150057,2.1917305917614756,7.376921785279041,38
2026-10-22,4.880441240580951,5.0,4.462965884713885,4.77838174793688,4.77838174793688,4.879459320842827,3.3628438235805316,6.193919672293228,2.1518945741978803,7.404868921675879,39
2026-10-23,4.87531193067823,5.0,4.449982200071202,4.772434307492334,4.772434307492334,4.872145618509632,3.3388633258967593,6.206005289087909,2.1124873495065315,7.432381265478137,40
2026-10-26,4.8701225471823895,5.0,4.437036287634548,4.766484423537328,4.766484423537328,4.864842878506134,3.315104423931875,6.217864423142781,2.0734933792186925,7.459475467855963,41
2026-10-27,4.864875280751771,5.0,4.424128037516817,4.760532633949825,4.760532633949825,4.857551084401165,3.2915595071580013,6.229505760741648,2.034898082095372,7.486167185804277,42
2026-10-28,4.859572253642112,5.0,4.411257340150584,4.754579458711076,4.754579458711076,4.850270219788185,3.268221429426621,6.240937487995531,1.9966877538493222,7.51247116357283,43
2026-10-29,4.854215521827764,5.0,4.398424086287181,4.748625400463799,4.748625400463799,4.8430002682852455,3.2450834704863896,6.252167330441208,1.9588494952650102,7.538401305662587,44
2026-10-30,4.848807077057152,5.0,4.385628166995767,4.742670945053026,4.742670945053026,4.835741213534953,3.2221393014552966,6.263202588650756,1.9213711476705915,7.563970742435462,45
2026-11-02,4.843348848844513,5.0,4.3728694736624005,4.7367165620502005,4.7367165620502005,4.828493039204431,3.199382953764791,6.2740501703356095,1.8842412348663498,7.589191889234051,46
2026-11-03,4.837842706399892,5.0,4.360147897989121,4.730762705260991,4.730762705260991,4.821255728985284,3.1768087911613296,6.284716619360653,1.8474489107399954,7.614076499781987,47
2026-11-04,4.832290460499302,5.0,4.347463331993032,4.724809813217373,4.724809813217373,4.814029266593562,3.1544114844079334,6.295208142026812,1.810983911905232,7.638635714529514,48
2026-11-05,4.826693865296916,5.0,4.334815668005377,4.718858309654437,4.718858309654437,4.80681363576972,3.132185988376567,6.305530630932307,1.7748365147894671,7.662880104519408,49
2026-11-06,4.821054620081068,5.0,4.322204798670634,4.712908603972412,4.712908603972412,4.799608820278587,3.110127521263009,6.315689686681815,1.738997496672396,7.686819711272428,50
2026-11-09,4.815374370975835,5.0,4.309630616945597,4.706961091684349,4.706961091684349,4.792414803909325,3.088231545690655,6.325690637678043,1.7034581002417135,7.710464083126984,51
2026-11-10,4.809654712589846,5.0,4.297093016098473,4.701016154849924,4.701016154849924,4.785231570475393,3.066493751499401,6.335538558200447,1.6682100012873025,7.733822308412545,52
2026-11-11,4.803897189613996,5.0,4.284591889707972,4.695074162495784,4.695074162495784,4.778059103814512,3.0449100400411133,6.3452382849504545,1.6332452792023768,7.7569030457891905,53
2026-11-12,4.798103298369621,5.0,4.272127131662407,4.689135471022845,4.689135471022845,4.770897387788632,3.0234765098250804,6.35479443222061,1.5985563900006166,7.779714552045073,54
2026-11-13,4.792274488308679,5.0,4.259698636158792,4.683200424600964,4.683200424600964,4.763746406283887,3.002189443375607,6.364211405826322,1.5641361415932145,7.802264707608714,55
2026-11-16,4.786412163467427,5.0,4.247306297701941,4.677269355551364,4.677269355551364,4.756606143210565,2.981045295180193,6.373493415922535,1.529977671099938,7.8245610400027905,56
2026-11-17,4.780517683875028,5.0,4.234950011103577,4.671342584717188,4.671342584717188,4.749476582503072,2.960040680620811,6.382644488813565,1.4960744239944517,7.846610745439923,57
2026-11-18,4.774592366918499,5.0,4.222629671481438,4.665420421822565,4.665420421822565,4.7423577081198935,2.9391723657930413,6.391668477852088,1.4624201349068744,7.868420708738254,58
2026-11-19,4.768637488665332,5.0,4.210345174258384,4.659503165820534,4.659503165820534,4.735249504043559,2.918437258128488,6.40056907351258,1.4290088099263096,7.889997521714759,59
2026-11-20,4.762654285145125,5.0,4.198096415161513,4.6535911052301735,4.6535911052301735,4.728151954280607,2.8978323977451863,6.409349812715161,1.3958347102634026,7.911347500196944,60
