Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change (Rs.),Change (%)
SEYLAN BANK PLC,SEYB.N0000,2180,25,97.9,98.9,98.9,97.1,97.9,0,0.00
SEYLAN DEVELOPMENTS PLC,CSD.N0000,2,2,26,25.9,25.9,25.9,25.9,-0.1,-0.38
SIERRA CABLES PLC,SIRA.N0000,567377,198,34.6,34.7,34.8,34.6,34.7,0.1,0.29
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,938,5,13.1,13.1,13.1,13,13.1,0,0.00
SINGER (SRI LANKA) PLC,SINS.N0000,103497,46,78,78,78.4,78,78.4,0.4,0.51
SINGER FINANCE LANKA PLC,SFIN.N0000,3448,14,48.6,49,49,48.5,48.5,-0.1,-0.21
SINGHE HOSPITALS PLC,SINH.N0000,641,9,21.5,21.3,21.5,20.8,20.8,-0.7,-3.26
SMB FINANCE PLC,SEMB.N0000,222391,13,1,1,1,0.9,1,0,0.00
SMB FINANCE PLC,SEMB.X0000,4134638,48,0.3,0.3,0.4,0.2,0.3,0,0.00
SOFTLOGIC CAPITAL PLC,SCAP.N0000,236643,58,11,11,11.4,10.4,11,0,0.00
SOFTLOGIC FINANCE PLC,CRL.N0000,219567,32,5.4,5.3,5.4,5.2,5.2,-0.2,-3.70
SOFTLOGIC HOLDINGS PLC,SHL.N0000,19890,24,9.5,9.7,9.8,9.6,9.8,0.3,3.16
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,14394,30,82,82.1,82.1,81.5,82.1,0.1,0.12
SRI LANKA TELECOM PLC,SLTL.N0000,2016,15,86.6,86.6,86.6,86.4,86.6,0,0.00
SUNSHINE HOLDINGS PLC,SUN.N0000,98595,79,29.5,29.6,29.9,29.3,29.5,0,0.00
SWADESHI INDUSTRIAL WORKS  PLC,SWAD.N0000,1,1,15103.25,14999,14999,14999,14999,-104.25,-0.69
SWISSTEK (CEYLON) PLC,PARQ.N0000,14664,43,70,70,71.5,68.5,70.4,0.4,0.57
TAL LANKA HOTELS PLC,TAJ.N0000,349,2,31,32,32,32,32,1,3.23
TALAWAKELLE TEA ESTATES PLC,TPL.N0000,35,6,142,143.25,148.5,143.25,148.5,6.5,4.58
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,3600,6,36,36.5,36.5,36,36.4,0.4,1.11
TEEJAY LANKA PLC,TJL.N0000,27421,17,30.1,30.2,30.3,30,30.3,0.2,0.66
TESS AGRO PLC,TESS.N0000,30147,11,1.8,1.9,1.9,1.8,1.9,0.1,5.56
TESS AGRO PLC,TESS.X0000,778,2,1.4,1.4,1.4,1.4,1.4,0,0.00
THE  LIGHTHOUSE  HOTEL  PLC,LHL.N0000,100,2,66.8,66.2,66.2,66.2,66.2,-0.6,-0.90
THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,105,2,58,58.3,58.3,58,58,0,0.00
THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,100,1,14,14,14,14,14,0,0.00
THE KINGSBURY PLC,SERV.N0000,2301,10,14.1,14.2,14.2,14.1,14.1,0,0.00
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,5857,11,111,111,114,111,114,3,2.70
THREE ACRE FARMS PLC,TAFL.N0000,2081,8,611.75,614,614,610,610,-1.75,-0.29
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,55958,51,61.4,61.3,61.6,61.1,61.3,-0.1,-0.16
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,13551,24,79.6,79.8,80,79.6,79.6,0,0.00
UB FINANCE PLC,UBF.N0000,36591,16,2.3,2.2,2.3,2.2,2.2,-0.1,-4.35
UNION ASSURANCE PLC,UAL.N0000,1139,5,72,72,72,72,72,0,0.00
UNION BANK OF COLOMBO PLC,UBC.N0000,232,7,12.2,12.2,12.2,12.2,12.2,0,0.00
UNION CHEMICALS LANKA PLC,UCAR.N0000,2,1,2330.25,2326.25,2326.25,2326.25,2326.25,-4,-0.17
UNITED MOTORS LANKA PLC,UML.N0000,11859,29,26,26.5,26.5,26,26.4,0.4,1.54
VALLIBEL FINANCE PLC,VFIN.N0000,6624,15,93,94.9,94.9,92.5,92.5,-0.5,-0.54
VALLIBEL ONE PLC,VONE.N0000,7433,15,91.4,91.2,92.2,91,91,-0.4,-0.44
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,1652,15,15.3,15.3,15.3,15.2,15.3,0,0.00
VIDULLANKA PLC,VLL.X0000,3000,1,17.7,18,18,18,18,0.3,1.69
VIDULLANKA PLC,VLL.N0000,12537,12,20.7,20.7,21,20.7,20.9,0.2,0.97
WASKADUWA BEACH RESORT PLC,CITW.N0000,5186,4,1.6,1.6,1.7,1.6,1.6,0,0.00
WATAWALA  PLANTATIONS  PLC,WATA.N0000,41191,57,43.1,43,43.4,42.8,42.8,-0.3,-0.70
WEALTHTRUST SECURITIES PLC,WLTH.N0000,3855,4,12,12,12,11.9,12,0,0.00
WINDFORCE PLC,WIND.N0000,4741,14,40.4,40.5,40.5,40.4,40.4,0,0.00
YORK ARCADE HOLDINGS PLC,YORK.N0000,1000,2,13.5,13.5,13.5,13.4,13.4,-0.1,-0.74
